epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,13202.5,1.22745,1.679,1.63812,0.65996,0.62996,0.64581,0.47931,1.31879,1.57862,1.6998,0.0005842,0.0005842,0.0005842
65,13397.8,1.23951,1.69408,1.64681,0.64701,0.63568,0.65125,0.48127,1.30589,1.5715,1.68217,0.0005776,0.0005776,0.0005776
66,13592.5,1.23512,1.67921,1.64333,0.63917,0.63828,0.64861,0.47709,1.3038,1.57891,1.67526,0.000571,0.000571,0.000571
67,13809.9,1.22617,1.66082,1.63864,0.65767,0.63733,0.65398,0.48572,1.29183,1.54377,1.65634,0.0005644,0.0005644,0.0005644
68,14013.2,1.22736,1.66798,1.63496,0.6738,0.63191,0.65562,0.4898,1.31262,1.55313,1.68563,0.0005578,0.0005578,0.0005578
69,14207.5,1.21512,1.64309,1.62565,0.66645,0.62992,0.65272,0.48393,1.3094,1.52759,1.68025,0.0005512,0.0005512,0.0005512
70,14404.7,1.23008,1.6676,1.64103,0.66873,0.6381,0.65019,0.48486,1.31327,1.56062,1.67701,0.0005446,0.0005446,0.0005446
71,14612.2,1.21319,1.63637,1.62919,0.69259,0.60403,0.64854,0.47834,1.32194,1.59857,1.69216,0.000538,0.000538,0.000538
72,14816.4,1.19326,1.61953,1.60857,0.64723,0.63952,0.65071,0.49065,1.29359,1.52497,1.66323,0.0005314,0.0005314,0.0005314
73,15012.3,1.22425,1.64106,1.6281,0.66202,0.62424,0.65032,0.48344,1.29684,1.53164,1.67252,0.0005248,0.0005248,0.0005248
74,15208.9,1.21644,1.63604,1.61542,0.67321,0.61868,0.65244,0.49241,1.29845,1.54453,1.67324,0.0005182,0.0005182,0.0005182
75,15406.7,1.20315,1.60896,1.61203,0.66414,0.63826,0.66581,0.4974,1.29765,1.52812,1.67782,0.0005116,0.0005116,0.0005116
76,15626.9,1.20538,1.61627,1.61189,0.67147,0.64251,0.66918,0.49526,1.29385,1.51762,1.6648,0.000505,0.000505,0.000505
77,15820.6,1.21184,1.62202,1.62331,0.69771,0.63628,0.66706,0.49952,1.28517,1.49632,1.64206,0.0004984,0.0004984,0.0004984
78,16014.5,1.20959,1.60361,1.62631,0.67779,0.63994,0.66589,0.49981,1.27489,1.4888,1.65703,0.0004918,0.0004918,0.0004918
79,16211.2,1.19664,1.60642,1.61167,0.6531,0.6494,0.66669,0.50117,1.27832,1.4928,1.65775,0.0004852,0.0004852,0.0004852
80,16405.1,1.19764,1.58302,1.60324,0.67333,0.64939,0.66627,0.50283,1.2796,1.49314,1.64062,0.0004786,0.0004786,0.0004786
81,16606.8,1.17816,1.56692,1.59286,0.69796,0.64018,0.67471,0.50652,1.28309,1.46745,1.64939,0.000472,0.000472,0.000472
82,16807.2,1.18703,1.5659,1.59655,0.70283,0.64373,0.67023,0.51082,1.26895,1.46972,1.62861,0.0004654,0.0004654,0.0004654
83,17000.7,1.176,1.55489,1.58972,0.67117,0.64991,0.66893,0.50736,1.2875,1.49003,1.65441,0.0004588,0.0004588,0.0004588
84,17195.3,1.18894,1.58043,1.60535,0.68246,0.65586,0.67201,0.50606,1.27865,1.48514,1.64957,0.0004522,0.0004522,0.0004522
85,17403.5,1.18218,1.56036,1.59739,0.69214,0.63408,0.67249,0.5065,1.27092,1.49764,1.6337,0.0004456,0.0004456,0.0004456
86,17612,1.16724,1.5347,1.57906,0.66553,0.6609,0.67239,0.51153,1.28294,1.47881,1.6455,0.000439,0.000439,0.000439
87,17808.8,1.15963,1.53856,1.5771,0.6982,0.63903,0.66884,0.50892,1.27516,1.48815,1.65708,0.0004324,0.0004324,0.0004324
88,18007.1,1.19431,1.55187,1.60318,0.66104,0.63552,0.66044,0.50097,1.28013,1.48344,1.6487,0.0004258,0.0004258,0.0004258
89,18201.1,1.16252,1.53983,1.57551,0.71056,0.64869,0.68394,0.51514,1.26692,1.43413,1.63784,0.0004192,0.0004192,0.0004192
90,18394.6,1.16351,1.51212,1.57206,0.66146,0.66586,0.67119,0.50626,1.285,1.46707,1.64321,0.0004126,0.0004126,0.0004126
91,18596.3,1.15437,1.5157,1.57244,0.68288,0.66628,0.67192,0.50733,1.26854,1.46074,1.62696,0.000406,0.000406,0.000406
92,18797.1,1.16016,1.51443,1.58039,0.66857,0.66727,0.67417,0.50603,1.2765,1.49404,1.63849,0.0003994,0.0003994,0.0003994
93,18989.6,1.14946,1.48364,1.56021,0.70853,0.64612,0.6686,0.51072,1.27841,1.46779,1.63624,0.0003928,0.0003928,0.0003928
94,19182.6,1.15632,1.49965,1.56733,0.70913,0.64803,0.68075,0.51445,1.27839,1.46023,1.64396,0.0003862,0.0003862,0.0003862
95,19390.5,1.15628,1.50152,1.57197,0.71135,0.6519,0.67313,0.5134,1.27223,1.45994,1.63322,0.0003796,0.0003796,0.0003796
96,19598.4,1.15945,1.49777,1.57206,0.69637,0.66746,0.67786,0.51568,1.26778,1.43303,1.6316,0.000373,0.000373,0.000373
97,19792.7,1.14522,1.49022,1.56355,0.68942,0.64977,0.67429,0.51349,1.2603,1.4419,1.62233,0.0003664,0.0003664,0.0003664
98,19986.9,1.13441,1.47653,1.55887,0.68565,0.67482,0.68455,0.52127,1.25567,1.43019,1.61997,0.0003598,0.0003598,0.0003598
99,20178.2,1.13624,1.4599,1.54856,0.69441,0.6677,0.68013,0.51156,1.26386,1.44487,1.62392,0.0003532,0.0003532,0.0003532
100,20373.1,1.13671,1.46252,1.55018,0.69475,0.6666,0.6873,0.51798,1.266,1.4287,1.63341,0.0003466,0.0003466,0.0003466
101,20567.8,1.12739,1.47167,1.55274,0.72471,0.64581,0.68068,0.5102,1.2762,1.44416,1.64106,0.00034,0.00034,0.00034
102,20792.1,1.12892,1.43589,1.54385,0.69901,0.67195,0.68904,0.52361,1.25176,1.40845,1.60997,0.0003334,0.0003334,0.0003334
103,20984.2,1.10455,1.43076,1.52423,0.71452,0.65703,0.68892,0.51651,1.26815,1.41747,1.64221,0.0003268,0.0003268,0.0003268
104,21177,1.12212,1.42647,1.52678,0.71764,0.65742,0.6905,0.52642,1.24661,1.39005,1.61068,0.0003202,0.0003202,0.0003202
105,21371.4,1.1248,1.4259,1.53787,0.7117,0.65652,0.68396,0.52201,1.25793,1.45072,1.62813,0.0003136,0.0003136,0.0003136
106,21578.6,1.10583,1.39789,1.51916,0.70931,0.6631,0.69763,0.52796,1.24752,1.4007,1.60475,0.000307,0.000307,0.000307
107,21785.7,1.12696,1.421,1.53805,0.7182,0.66129,0.68864,0.5226,1.25449,1.42627,1.61096,0.0003004,0.0003004,0.0003004
108,21986.3,1.12005,1.41666,1.52787,0.73714,0.65999,0.69659,0.52807,1.26303,1.40443,1.61828,0.0002938,0.0002938,0.0002938
109,22191.6,1.10927,1.40707,1.52261,0.73377,0.66521,0.69417,0.52576,1.25898,1.41751,1.61869,0.0002872,0.0002872,0.0002872
110,22380.9,1.09757,1.39075,1.5116,0.72645,0.66452,0.69281,0.5268,1.25118,1.40992,1.61524,0.0002806,0.0002806,0.0002806
111,22569.8,1.09438,1.38309,1.52183,0.72027,0.66335,0.69506,0.52637,1.24976,1.41246,1.61328,0.000274,0.000274,0.000274
112,22760.1,1.10898,1.39289,1.52152,0.71295,0.67359,0.69353,0.52504,1.25206,1.40789,1.61906,0.0002674,0.0002674,0.0002674
113,22950.7,1.08149,1.36346,1.50471,0.72491,0.65777,0.69582,0.5291,1.25767,1.40696,1.62406,0.0002608,0.0002608,0.0002608
114,23141.5,1.08832,1.38421,1.50111,0.70875,0.6623,0.68861,0.52255,1.25403,1.41997,1.62195,0.0002542,0.0002542,0.0002542
115,23329.5,1.07169,1.34857,1.49181,0.70138,0.67005,0.68746,0.52115,1.25087,1.41862,1.61825,0.0002476,0.0002476,0.0002476
116,23527.1,1.08644,1.359,1.50341,0.70018,0.67876,0.6879,0.5196,1.26017,1.4113,1.61881,0.000241,0.000241,0.000241
117,23717.6,1.08785,1.35007,1.51254,0.71477,0.65793,0.69113,0.5268,1.25538,1.41286,1.62198,0.0002344,0.0002344,0.0002344
118,23908.7,1.08021,1.37236,1.51009,0.73606,0.66372,0.69055,0.52444,1.25237,1.41713,1.62474,0.0002278,0.0002278,0.0002278
119,24099.1,1.08032,1.35843,1.50105,0.73874,0.66708,0.68872,0.52678,1.24983,1.39186,1.61328,0.0002212,0.0002212,0.0002212
120,24290.9,1.08399,1.32391,1.49014,0.72994,0.66086,0.6935,0.52796,1.26317,1.40114,1.62312,0.0002146,0.0002146,0.0002146
121,24482,1.06918,1.34004,1.49884,0.73519,0.6706,0.70148,0.52948,1.26101,1.39628,1.62778,0.000208,0.000208,0.000208
122,24673.5,1.08154,1.33688,1.49603,0.70562,0.67304,0.68717,0.52465,1.25385,1.40221,1.6112,0.0002014,0.0002014,0.0002014
123,24864.1,1.07306,1.32177,1.49185,0.74194,0.65343,0.69405,0.5298,1.25106,1.40864,1.61401,0.0001948,0.0001948,0.0001948
124,25056.7,1.06741,1.33693,1.49329,0.71835,0.67867,0.69522,0.53001,1.26125,1.39857,1.61817,0.0001882,0.0001882,0.0001882
125,25247.8,1.05953,1.31002,1.48795,0.72701,0.67596,0.69782,0.53313,1.25995,1.38548,1.62369,0.0001816,0.0001816,0.0001816
126,25439.7,1.0681,1.31676,1.48567,0.72613,0.67372,0.69743,0.53079,1.26,1.38747,1.62064,0.000175,0.000175,0.000175
127,25632.5,1.06034,1.29699,1.47981,0.72917,0.67691,0.69977,0.53634,1.25018,1.37334,1.61269,0.0001684,0.0001684,0.0001684
128,25826.3,1.05874,1.30349,1.47359,0.76234,0.65721,0.69871,0.53614,1.25369,1.38338,1.61819,0.0001618,0.0001618,0.0001618
129,26052.7,1.05521,1.29906,1.48363,0.74717,0.66692,0.69815,0.53352,1.24819,1.37619,1.60789,0.0001552,0.0001552,0.0001552
130,26241.8,1.04811,1.29891,1.46622,0.71255,0.6872,0.69914,0.53456,1.2425,1.36988,1.60914,0.0001486,0.0001486,0.0001486
131,26430.3,1.06255,1.30926,1.48866,0.73921,0.67248,0.70294,0.53629,1.24656,1.36311,1.61025,0.000142,0.000142,0.000142
132,26633.2,1.04666,1.29222,1.46798,0.74032,0.67355,0.69902,0.53515,1.2548,1.36253,1.62196,0.0001354,0.0001354,0.0001354
133,26826.7,1.0634,1.30361,1.48001,0.73081,0.67719,0.70365,0.53916,1.24662,1.36576,1.61354,0.0001288,0.0001288,0.0001288
134,27018,1.05016,1.29411,1.47812,0.73391,0.67333,0.69692,0.53476,1.24301,1.38497,1.60568,0.0001222,0.0001222,0.0001222
135,27230.8,1.05112,1.27735,1.46958,0.73631,0.6679,0.70007,0.53762,1.24329,1.37287,1.60959,0.0001156,0.0001156,0.0001156
136,27421.8,1.0448,1.27326,1.46152,0.73184,0.66686,0.69669,0.53454,1.24683,1.39114,1.6107,0.000109,0.000109,0.000109
137,27612.4,1.02872,1.25597,1.45635,0.72829,0.67806,0.70048,0.53381,1.24928,1.38407,1.61902,0.0001024,0.0001024,0.0001024
138,27803.1,1.0345,1.25949,1.45386,0.7239,0.68111,0.69984,0.53681,1.24992,1.37278,1.62438,9.58e-05,9.58e-05,9.58e-05
139,28019.5,1.04408,1.29147,1.46564,0.73938,0.66084,0.69915,0.53498,1.25442,1.38258,1.62933,8.92e-05,8.92e-05,8.92e-05
140,28208.2,1.03611,1.27209,1.46702,0.73152,0.67248,0.70292,0.53443,1.25378,1.37795,1.62467,8.26e-05,8.26e-05,8.26e-05
141,28388.2,0.92462,0.97004,1.33939,0.73443,0.67433,0.69696,0.53301,1.24283,1.36649,1.6244,7.6e-05,7.6e-05,7.6e-05
142,28563.1,0.89817,0.91899,1.31574,0.72669,0.68116,0.69489,0.52818,1.25875,1.37781,1.64245,6.94e-05,6.94e-05,6.94e-05
143,28741.2,0.90095,0.90959,1.3147,0.73538,0.67324,0.69362,0.52958,1.25217,1.38286,1.64106,6.28e-05,6.28e-05,6.28e-05
144,28908.4,0.8941,0.89267,1.30725,0.73332,0.67523,0.69236,0.53,1.24574,1.37325,1.63433,5.62e-05,5.62e-05,5.62e-05
145,29093.2,0.8939,0.89983,1.31319,0.74865,0.66554,0.6967,0.53371,1.2486,1.37273,1.63331,4.96e-05,4.96e-05,4.96e-05
146,29257.1,0.88001,0.89374,1.30878,0.74808,0.66936,0.69458,0.53114,1.25065,1.37992,1.63695,4.3e-05,4.3e-05,4.3e-05
147,29421.8,0.87567,0.88742,1.2935,0.75267,0.66501,0.69519,0.53027,1.252,1.38334,1.64081,3.64e-05,3.64e-05,3.64e-05
148,29585.7,0.87933,0.86645,1.29535,0.74715,0.6671,0.69667,0.53067,1.24831,1.38674,1.63719,2.98e-05,2.98e-05,2.98e-05
149,29769.8,0.87404,0.8619,1.28684,0.75269,0.66481,0.69498,0.53129,1.24912,1.38234,1.63828,2.32e-05,2.32e-05,2.32e-05
150,29931.7,0.86859,0.86072,1.28575,0.75892,0.66131,0.69438,0.53278,1.24907,1.37761,1.63683,1.66e-05,1.66e-05,1.66e-05
